Lp,Periods,Correlation,Methods
312,5,0.7976190476190477,DARIA-TOPSIS/DARIA-VIKOR
313,5,-0.28577969649398227,DARIA-TOPSIS/AVG TOPSIS
314,5,-0.13712279783708348,DARIA-VIKOR/AVG VIKOR
315,5,0.9318855747427176,AVG TOPSIS/AVG VIKOR
316,6,0.816740798883656,DARIA-TOPSIS/DARIA-VIKOR
317,6,0.46212715855572994,DARIA-TOPSIS/AVG TOPSIS
318,6,0.20423425780568638,DARIA-VIKOR/AVG VIKOR
319,6,0.9456654456654456,AVG TOPSIS/AVG VIKOR
320,7,0.8560090702947846,DARIA-TOPSIS/DARIA-VIKOR
321,7,0.22490406418977849,DARIA-TOPSIS/AVG TOPSIS
322,7,0.14021890807605097,DARIA-VIKOR/AVG VIKOR
323,7,0.8705520669806384,AVG TOPSIS/AVG VIKOR
324,8,0.7879382522239665,DARIA-TOPSIS/DARIA-VIKOR
325,8,0.11954910169195887,DARIA-TOPSIS/AVG TOPSIS
326,8,0.3049668585382871,DARIA-VIKOR/AVG VIKOR
327,8,0.9833202511773941,AVG TOPSIS/AVG VIKOR
328,9,0.7653061224489796,DARIA-TOPSIS/DARIA-VIKOR
329,9,0.11233211233211238,DARIA-TOPSIS/AVG TOPSIS
330,9,0.17514826443397868,DARIA-VIKOR/AVG VIKOR
331,9,0.9412829234257806,AVG TOPSIS/AVG VIKOR
332,10,0.8330716902145474,DARIA-TOPSIS/DARIA-VIKOR
333,10,0.13245682888540034,DARIA-TOPSIS/AVG TOPSIS
334,10,0.12356096284667717,DARIA-VIKOR/AVG VIKOR
335,10,0.8427306820163963,AVG TOPSIS/AVG VIKOR
336,5,0.7247296354439212,DARIA-TOPSIS/DARIA-VIKOR
337,5,0.2545351473922902,DARIA-TOPSIS/AVG TOPSIS
338,5,0.09303593232164664,DARIA-VIKOR/AVG VIKOR
339,5,0.9022326879469736,AVG TOPSIS/AVG VIKOR
340,6,0.7954386882958311,DARIA-TOPSIS/DARIA-VIKOR
341,6,0.017181231466945723,DARIA-TOPSIS/AVG TOPSIS
342,6,0.012733298447584196,DARIA-VIKOR/AVG VIKOR
343,6,0.9146171289028432,AVG TOPSIS/AVG VIKOR
344,7,0.8481815803244375,DARIA-TOPSIS/DARIA-VIKOR
345,7,0.17527908599337172,DARIA-TOPSIS/AVG TOPSIS
346,7,0.27795220652363506,DARIA-VIKOR/AVG VIKOR
347,7,0.8690476190476191,AVG TOPSIS/AVG VIKOR
348,8,0.9155328798185941,DARIA-TOPSIS/DARIA-VIKOR
349,8,-0.20702511773940335,DARIA-TOPSIS/AVG TOPSIS
350,8,-0.07295482295482292,DARIA-VIKOR/AVG VIKOR
351,8,0.8680228501657073,AVG TOPSIS/AVG VIKOR
352,9,0.7414747950462236,DARIA-TOPSIS/DARIA-VIKOR
353,9,-0.08852258852258843,DARIA-TOPSIS/AVG TOPSIS
354,9,-0.05165271236699809,DARIA-VIKOR/AVG VIKOR
355,9,0.8302808302808302,AVG TOPSIS/AVG VIKOR
356,10,0.9102346066631781,DARIA-TOPSIS/DARIA-VIKOR
357,10,-2.1803593232228025e-05,DARIA-TOPSIS/AVG TOPSIS
358,10,0.10341444270015698,DARIA-VIKOR/AVG VIKOR
359,10,0.9043258328972614,AVG TOPSIS/AVG VIKOR
360,5,0.8776382347810919,DARIA-TOPSIS/DARIA-VIKOR
361,5,0.09966422466422464,DARIA-TOPSIS/AVG TOPSIS
362,5,0.06680620966335249,DARIA-VIKOR/AVG VIKOR
363,5,0.9079452293738008,AVG TOPSIS/AVG VIKOR
364,6,0.7170765742194314,DARIA-TOPSIS/DARIA-VIKOR
365,6,0.39222483865341007,DARIA-TOPSIS/AVG TOPSIS
366,6,0.21714198499912785,DARIA-VIKOR/AVG VIKOR
367,6,0.9380559916274201,AVG TOPSIS/AVG VIKOR
368,7,0.931013431013431,DARIA-TOPSIS/DARIA-VIKOR
369,7,0.160627071341357,DARIA-TOPSIS/AVG TOPSIS
370,7,-0.02274114774114766,DARIA-VIKOR/AVG VIKOR
371,7,0.9411302982731554,AVG TOPSIS/AVG VIKOR
372,8,0.7789551718123147,DARIA-TOPSIS/DARIA-VIKOR
373,8,0.16324350252921682,DARIA-TOPSIS/AVG TOPSIS
374,8,0.45449590092447234,DARIA-VIKOR/AVG VIKOR
375,8,0.929683411826269,AVG TOPSIS/AVG VIKOR
376,9,0.8121838478981336,DARIA-TOPSIS/DARIA-VIKOR
377,9,-0.27049537763823484,DARIA-TOPSIS/AVG TOPSIS
378,9,-0.10640153497296345,DARIA-VIKOR/AVG VIKOR
379,9,0.8634658991801849,AVG TOPSIS/AVG VIKOR
380,10,0.8821951857666144,DARIA-TOPSIS/DARIA-VIKOR
381,10,0.1553942089656375,DARIA-TOPSIS/AVG TOPSIS
382,10,0.3244374672946102,DARIA-VIKOR/AVG VIKOR
383,10,0.9236220129077272,AVG TOPSIS/AVG VIKOR
384,5,0.8785975928833072,DARIA-TOPSIS/DARIA-VIKOR
385,5,0.3516265480551195,DARIA-TOPSIS/AVG TOPSIS
386,5,0.28085208442351295,DARIA-VIKOR/AVG VIKOR
387,5,0.8311311704168847,AVG TOPSIS/AVG VIKOR
