Lp,Alternatives,Correlation,Methods
369,50,0.21694983875903306,DARIA-TOPSIS/AVG TOPSIS
370,50,0.1920062142504061,DARIA-VIKOR/AVG VIKOR
371,50,0.8429658922392487,AVG TOPSIS/AVG VIKOR
372,100,0.8543493953355732,DARIA-TOPSIS/DARIA-VIKOR
373,100,0.2262820341440085,DARIA-TOPSIS/AVG TOPSIS
374,100,0.22860052341867854,DARIA-VIKOR/AVG VIKOR
375,100,0.8852368009078135,AVG TOPSIS/AVG VIKOR
376,200,0.8633003063882567,DARIA-TOPSIS/DARIA-VIKOR
377,200,0.31152481050832237,DARIA-TOPSIS/AVG TOPSIS
378,200,0.2907206262246108,DARIA-VIKOR/AVG VIKOR
379,200,0.8686416488770428,AVG TOPSIS/AVG VIKOR
380,10,0.7741046831955922,DARIA-TOPSIS/DARIA-VIKOR
381,10,0.4942148760330578,DARIA-TOPSIS/AVG TOPSIS
382,10,0.5349862258953169,DARIA-VIKOR/AVG VIKOR
383,10,0.9338842975206612,AVG TOPSIS/AVG VIKOR
384,30,0.8736517277261473,DARIA-TOPSIS/DARIA-VIKOR
385,30,0.1876278302056048,DARIA-TOPSIS/AVG TOPSIS
386,30,0.18256126879328283,DARIA-VIKOR/AVG VIKOR
387,30,0.8672359969858983,AVG TOPSIS/AVG VIKOR
388,50,0.8662486170938963,DARIA-TOPSIS/DARIA-VIKOR
389,50,0.2928088882611868,DARIA-TOPSIS/AVG TOPSIS
390,50,0.17460066379492978,DARIA-VIKOR/AVG VIKOR
391,50,0.966051361721159,AVG TOPSIS/AVG VIKOR
392,100,0.881206180023943,DARIA-TOPSIS/DARIA-VIKOR
393,100,0.1754512480951066,DARIA-TOPSIS/AVG TOPSIS
394,100,0.08663690131389379,DARIA-VIKOR/AVG VIKOR
395,100,0.8449616050713982,AVG TOPSIS/AVG VIKOR
396,200,0.739195785864796,DARIA-TOPSIS/DARIA-VIKOR
397,200,0.10568201518470799,DARIA-TOPSIS/AVG TOPSIS
398,200,0.19123156437119881,DARIA-VIKOR/AVG VIKOR
399,200,0.8890699506293628,AVG TOPSIS/AVG VIKOR
400,10,0.8314049586776859,DARIA-TOPSIS/DARIA-VIKOR
401,10,0.7079889807162534,DARIA-TOPSIS/AVG TOPSIS
402,10,0.4865013774104683,DARIA-VIKOR/AVG VIKOR
403,10,0.9735537190082645,AVG TOPSIS/AVG VIKOR
404,30,0.8933725644981879,DARIA-TOPSIS/DARIA-VIKOR
405,30,0.21544368294520788,DARIA-TOPSIS/AVG TOPSIS
406,30,0.12019806953963186,DARIA-VIKOR/AVG VIKOR
407,30,0.9474685134019879,AVG TOPSIS/AVG VIKOR
